max_value,0.3937
num_nodes,38
index_set,191
mean_value,0.139026
std_value,0.05919388215010061

experiment,mnist,lr_cnn,n_conv,som_in,max_pool,max_pool2d_size,filters_pow,kernel_size,n_max,at,eb,ds_beta,eps_ds,epochs,seed
0,0.11350,0.02780722,3,32,1,2,3,3,110,0.981658,0.0076834,0.469062,0.04294,185,156400
1,0.11351,0.06980302,3,62,1,2,5,3,136,0.847706,0.0058222000000000005,0.031938,0.07102,196,22801
2,0.11352,0.04340566,1,73,0,2,5,5,133,0.9924219999999999,0.008792200000000002,0.257486,0.06274,128,76401
3,0.11353,0.02820718,5,50,0,3,3,3,107,0.8154140000000001,0.0040006,0.29541,0.09838,156,64401
4,0.27434,0.01060894,3,107,1,4,3,3,20,0.9960100000000001,0.0008722000000000002,0.191618,0.08434,132,83601
5,0.13555,0.08140186,4,27,0,4,5,7,181,0.917074,0.0037630000000000003,0.177646,0.07534,91,130800
6,0.25576,0.0050095,2,56,1,3,3,3,93,0.746046,0.0011098,0.479042,0.02242,80,90801
7,0.11357,0.04020598,5,99,0,3,5,7,51,0.833354,0.0054262,0.21956199999999998,0.0613,189,41201
8,0.11358,0.0970003,5,83,1,2,3,3,108,0.75083,0.009505,0.457086,0.0523,96,40401
9,0.11359,0.02860714,5,16,1,3,4,5,155,0.754418,0.0082774,0.171658,0.027460000000000002,134,53201
10,0.113510,0.0210079,2,73,0,2,4,7,157,0.795082,0.0008326000000000001,0.19560999999999998,0.0595,117,30801
11,0.113511,0.09860014,4,52,0,3,4,7,154,0.805846,0.0002386,0.10579000000000001,0.01882,159,176400
12,0.113512,0.09220078,5,100,1,2,3,3,116,0.778338,0.001387,0.493014,0.09874,85,141200
13,0.136313,0.08260174,4,35,0,4,2,3,63,0.962522,0.0021394,0.293414,0.08217999999999999,196,183600
14,0.113514,0.02940706,3,91,0,2,2,3,71,0.728106,0.0019018000000000001,0.183634,0.08902,197,80401
15,0.113515,0.04260574,4,111,1,4,5,5,117,0.755614,0.0025353999999999997,0.391218,0.0811,99,78001
16,0.113516,0.09140086,5,127,0,2,5,5,81,0.8010619999999999,0.006455800000000001,0.179642,0.06022,173,171600
17,0.113517,0.08540146,2,6,0,2,2,7,124,0.7017939999999999,0.005347,0.427146,0.05014,172,146000
18,0.113518,0.07180282,4,65,0,2,3,7,37,0.736478,0.004357,0.28942199999999996,0.03826,188,11601
19,0.295619,0.03260674,4,75,1,4,2,7,148,0.991226,0.0091882,0.027946,0.06526,84,107600
20,0.113520,0.043005699999999994,4,44,0,3,4,5,51,0.8213940000000001,0.004079800000000001,0.369262,0.0415,148,24401
21,0.113521,0.00180982,2,114,0,3,3,5,54,0.9457780000000001,0.0022978,0.38523,0.06598,135,126800
22,0.113522,0.05020498,1,72,0,3,4,3,175,0.7328899999999999,0.0083962,0.11577,0.059860000000000003,114,10801
23,0.113523,0.06340366,1,67,1,2,3,7,50,0.9302299999999999,0.008198200000000001,0.037926,0.0307,199,87601
24,0.113524,0.05340466,4,74,0,2,2,5,42,0.836942,0.0057034,0.333334,0.09333999999999999,172,149200
25,0.113525,0.01180882,2,95,0,3,3,7,64,0.718538,0.007525,0.22555,0.06922,71,189200
26,0.113526,0.06500349999999999,4,76,0,3,4,5,29,0.985246,0.0043966000000000005,0.487026,0.06886,154,28401
27,0.113527,0.02660734,2,95,1,3,4,5,29,0.9075059999999999,0.0072082,0.431138,0.0955,120,184400
28,0.113528,0.01460854,3,13,1,2,3,5,61,0.931426,0.007723000000000001,0.249502,0.08002000000000001,82,138800
29,0.113529,0.03020698,4,60,0,3,3,3,143,0.76877,0.0069310000000000005,0.049901999999999995,0.07282000000000001,198,150000
30,0.176930,0.0830017,5,55,0,3,5,7,109,0.97209,0.007089399999999999,0.143714,0.09946,147,170000
31,0.113531,0.08820118,4,85,1,3,5,5,100,0.88239,0.008752600000000001,0.23752600000000001,0.08578,88,99600
32,0.113532,0.02740726,3,9,1,3,6,7,129,0.9122899999999999,0.0020206,0.45508999999999994,0.08506,135,67601
33,0.113533,0.05780422,3,80,0,4,4,5,195,0.79867,0.0070498,0.489022,0.02062,137,88401
34,0.113534,0.03140686,3,123,1,4,5,5,32,0.752026,0.0030898,0.17565,0.02998,190,129200
